City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
337,popondetta,80,PG,1574783144,89,-8.77,148.24,62.29,2.35
338,colonelganj,0,IN,1574783144,44,27.13,81.7,72.72,0.76
339,nayoro,100,JP,1574783145,95,44.36,142.46,22.59,7.76
340,gidole,100,ET,1574783145,88,5.65,37.37,67.35,1.61
341,sao filipe,0,CV,1574783145,75,14.9,-24.5,76.44,17.11
342,margate,93,AU,1574783146,67,-43.03,147.26,50.0,11.41
343,chongwe,98,ZM,1574783146,75,-15.33,28.68,75.16,4.9
344,rio grande,90,BR,1574783091,69,-32.03,-52.1,75.2,17.22
345,west bay,75,CA,1574783146,86,49.34,-123.21,39.99,8.05
346,pinega,96,RU,1574783147,96,64.7,43.39,26.46,7.94
347,rehnan,0,IR,1574783147,42,32.68,51.6,42.8,4.7
348,owen sound,75,CA,1574783147,87,44.57,-80.95,45.0,6.93
349,indramayu,86,ID,1574783147,93,-4.05,103.78,74.55,0.78
350,thinadhoo,100,MV,1574783148,80,0.53,72.93,83.14,16.91
351,namibe,100,AO,1574783148,79,-15.19,12.15,73.71,11.01
352,yar-sale,100,RU,1574783148,93,66.83,70.83,11.12,15.3
353,kalabo,58,ZM,1574783148,32,-15.0,22.67,89.98,8.43
354,fort wellington,100,GY,1574783148,81,6.4,-57.6,83.1,21.47
355,tuatapere,77,NZ,1574783148,81,-46.13,167.69,61.0,1.99
356,oistins,40,BB,1574783149,74,13.07,-59.53,86.0,24.16
357,bakel,0,SN,1574783149,10,14.9,-12.46,100.47,8.88
358,talgar,90,KZ,1574783149,85,43.3,77.24,24.8,2.24
359,lompoc,1,US,1574783149,52,34.64,-120.46,48.2,13.09
360,isangel,36,VU,1574783149,76,-19.55,169.27,74.25,16.93
361,qandala,54,SO,1574783150,77,11.47,49.87,77.58,12.55
362,rocha,100,UY,1574783126,64,-34.48,-54.34,75.63,6.62
363,lengshuitan,21,CN,1574783150,70,26.41,111.6,45.84,5.1
364,matamoros,90,US,1574783150,88,25.87,-97.51,79.0,26.4
365,delta,90,US,1574783116,63,38.74,-108.07,30.99,20.8
366,kupang,20,ID,1574783151,88,-10.16,123.6,78.8,1.12
367,san juan,45,AR,1574783151,44,-31.54,-68.53,64.47,21.77
368,bull savanna,8,JM,1574783151,70,17.89,-77.59,80.19,3.85
369,carballo,75,ES,1574783151,87,43.21,-8.69,59.0,19.46
370,mae ramat,0,TH,1574783151,84,16.98,98.52,66.38,2.28
371,coos bay,90,US,1574783152,93,43.37,-124.22,42.01,6.93
372,vila velha,75,BR,1574783152,58,-3.71,-38.6,87.8,13.87
373,winnemucca,75,US,1574783152,72,40.97,-117.74,23.0,5.82
374,harper,90,US,1574783152,88,30.3,-99.24,68.0,28.52
375,keti bandar,0,PK,1574783153,39,24.14,67.45,79.09,9.71
376,walvis bay,11,NA,1574783153,68,-22.95,14.51,68.0,11.41
377,puerto del rosario,20,ES,1574783153,73,28.5,-13.86,75.2,12.75
378,hazorasp,0,UZ,1574783153,62,41.32,61.08,21.2,4.7
